,Unnamed: 0,plant_name,links,required_space,when_to_plant,min_growing_time,max_growing_time,when_to_harvest,climate
0,0,Agastache,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-agastache/,900,"2, 3, 4, 5, 6, 7",90,270,"5, 6, 7, 8, 9, 10, 11",Cfa
1,1,Ageratum,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-ageratum/,600,"1, 2, 3, 4, 5, 6",90,300,"4, 5, 6, 7, 8, 9, 10, 11",Cfa
2,2,Allium (Ornamental),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-allium-ornamental/,900,"2, 3, 10, 11",60,90,"4, 5",Cfa
3,3,Almond,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-almonds/,0,"2, 3",120,270,"6, 7, 8, 9, 10, 11",Cfa
4,4,Alyssum,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-alyssum/,225,"1, 2, 3, 9, 10",60,330,"3, 4, 5, 10, 11, 12",Cfa
5,5,Amaranth (Grain),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-amaranth-grain/,4050,"4, 5, 6",120,210,"8, 9, 10, 11",Cfa
6,6,Amaranth (Ornamental),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-amaranth-ornamental/,2700,"3, 4, 5, 6",60,240,"5, 6, 7, 8, 9, 10, 11",Cfa
7,7,Anemone,https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-anemone/,225,"2, 3, 10, 11",30,60,"3, 4",Cfa
8,8,Apple (Cordon),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-cordon-apple-trees/,0,"2, 3, 4, 5",150,270,"7, 8, 9, 10, 11",Cfa
9,9,Apple (Dwarf),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-dwarf-apple-trees/,0,"2, 3, 4, 5",150,270,"7, 8, 9, 10, 11",Cfa
10,10,Apple (Espalier),https://gardenplanner.almanac.com/plants/us-and-canada/how-to-grow-espalier-apple-trees/,0,"2, 3, 4, 5",150,270,"7, 8, 9, 10, 11",Cfa
