plant_name,required_space (sq inches),when_to_plant (month),min_growing_time (days),max_growing_time (days),when_to_harvest (month),watering_required (inches per week),optimal_climate_type,max_root_size (inches),solar_radiation_required (low or high)
potato,36,"1,2,3,4,5,6,7,8,9,10,11,12",90,110,"1,2,3,4,5,6,7,8,9,10,11,12",2,all,12,low
beets,16,"3,4,5,6,7",45,65,"4,5,6,7,8,10",1,cold,?,high
broccoli,648,"1,2,3,4,5,9,10,11,12",50,70,"2,3,4,5,6,7,8,9,10,11",1,temperate,?,high
bush_beans,54,"3,4,5,9,10,11",48,55,"5,6,11,12,1","2,3",?,?,high
cabbage,144,"3,4,5,6,7,8",60,120,"1,2,3,5,6,7,8,9,10,11,12",1.5,?,?,high
carrots,10,"2,3,4,5,6,7",70,80,"1,2,3,4,5,6,7,8,9,10,11,12",,,,high
cauliflower,84,"4,5,6",50,100,"1,2,3,4,5,6,7,8,9,10,11,12",,,,
celery,48,"3,4,5",130,140,"8,9,10,11,",,,,
corn,40,,60,100,"8,9,",,,,
cucumber,135,"5,6",45,55,"7,8,9,10,",,,,
eggplant,150,,100,120,"8,9,10,",,,,
garlic,12,"9,10,11",90,120,"5,6,7,8,9,",,,,
kale,50,"3,4,5,8",30,40,"1,2,3,9,10,11,12",,,,
kohlrabi,18,"3,4,5,6,7",45,60,"7,8,9,10,",,,,
leeks,18,"3,4,5",120,150,"1,2,3,7,8,9,10,11,12",,,,
lettuce,21,"3,4,5,6,7,8",30,60,"1,2,3,4,5,6,7,8,9,10,11,12",,,,
onions,10,"3,4",130,160,"8,9,",,,,
melons,72,,80,100,,,,,
parsnips,18,"2,3,4",90,120,"1,2,10,11,12",,,,
peanuts,60,,90,110,,,,,
peppers,63,,60,90,"7,8,9,10,",,,,
pole_beans,3,,65,80,,,,,
pumpkins,480,"5,6,",90,120,"8,9,10,11",,,,
radishes,1,"2,3,4,5,6,7,8,9",20,30,"4,5,6,7,8,9,10",,,,
rhubarb,48,"10,11,12,1,2,3,3",49,63,"10,11,12,1,2,3,4,5,6",1,cold,12,low
spinach,12,"10,11,12,1,2,3,4",37,45,"10,11,12,1,2,3,4,5",1,cold,36,low
sweet_potatoes,18,"5,6,7,8",90,120,"8,9,10",1,temperate,18,high
swiss_chard,24,"9,10,11",30,70,"10,11,12,1,2,3,4",1.5,cold,12,low
tomatoes,36,"5,6,7,8",75,100,"6,7,8,9,10",2,temperate,24,high
zucchini,36,"5,6,7,8",50,60,"6,7,8,9,10",2,temperate,25-40,high
aubergines,25,"1,2",60,150,"7,8,9,10","2,3",temperate,45,high
